name,lang,n,size(B)_mean,cpu-time(s)_mean,mem(KB)_mean,size(B)_std,cpu-time(s)_std,mem(KB)_std
binarytrees,gpp,21,813,7.524,450148181.3333333,126.0796740578207,6.088066995965832,587740021.4054265
binarytrees,graalvmaot,7,665.2,0.0156,11584307.2,162.97760582362227,0.00181659,648885.7810024814
binarytrees,graalvmaot,21,665.2,5.667016666666667,314629393.06666666,147.00176408488372,0.9305753367377796,32792981.07178961
binarytrees,icx,7,808,0.016,4518912,107.0202473055138,0.015853495934125484,1508341.919857696
binarytrees,icx,21,808,15.781687499999999,237389397.33333334,93.66304477992811,11.491766812580824,87691445.21879634
binarytrees,ifc,21,967.5,19.720958333333332,340564480,191.53271942071856,12.98698172411651,203776823.03861755
binarytrees,ifx,21,967.5,19.886416666666666,344085162.6666667,191.53271942071845,13.217927371292124,200151478.3458732
binarytrees,javavm,7,665.2,0.20739999999999997,61585817.6,162.9776058236223,0.017615334,1234390.6103388828
binarytrees,javavm,21,665.2,6.259166666666667,1808623274.6666667,147.00176408488372,0.9567528268844636,69205790.55861247
binarytrees,javaxint,21,665.2,81.46239999999999,1153042705.0666666,147.00176408488366,13.803743130526565,124637100.23900001
binarytrees,julia,7,461,15.018,577111040,121.26554883120488,23.115960085332098,339559028.4706689
binarytrees,julia,21,461,27.800479166666666,750760960,106.1303894955073,19.846006987836596,338948735.0182271
binarytrees,lua,7,592.6666666666666,0.017666666666666667,5206016,151.59595421162575,0.009451631,1293460.7673741018
binarytrees,lua,21,592.6666666666666,162.8087222222222,1617772544,125.53337632450015,12.122709290798253,430298150.7175515
binarytrees,micropython,7,344,0.02,16293888,,,
binarytrees,micropython,21,344,140.07583333333335,1079502165.3333333,0,6.692354971204537,10381.758174256036
binarytrees,node,7,642.3333333333334,0.229,78301866.66666667,160.59369020398447,0.10088111815399352,13027261.085401693
binarytrees,node,21,642.3333333333334,31.145166666666668,1255354595.5555556,132.98420958895844,2.341301341439964,109349507.09335098
binarytrees,ocaml,21,613.5,9.129041666666668,545179989.3333334,148.62939027047756,1.3537649426423835,323221755.9754983
binarytrees,perl,21,692.9591836734694,226.30532653061223,1286792923.4285715,169.67124574497907,58.43127222550574,793360780.5164096
binarytrees,pharo,21,673,35.74608333333333,399407445.3333333,0,0.42685924,70024.24991559812
binarytrees,php,21,685.4285714285714,96.12141666666666,1337659830.857143,230.0584675,21.515901926618447,586470631.4876145
binarytrees,python3,21,667.6,124.2479,562707456,312.52732490705404,15.543270520209294,215333554.45047078
binarytrees,racket,7,561.25,0.724,160706560,201.7612037368268,0.7240372918572634,76750957.36940299
binarytrees,racket,21,561.25,10.083958333333333,437591893.3333333,176.5793776060633,3.274911459,122732509.13041064
binarytrees,ruby,21,512.4,49.86655,869304251.7333333,254.1951205708597,2.400275876976065,750386355.8950857
binarytrees,rust,7,757.4,0.006,3852697.6,16.410362579784753,0,223478.0002
binarytrees,rust,21,757.4,5.1523666666666665,172246084.26666668,14.80174062141786,1.2510478451020417,25782024.088339746
binarytrees,sbcl,21,766.5,8.555,659094016,175.18859403015048,1.1276562458017303,13580613.066575574
binarytrees,swift,7,799,0.039,25305907.2,55.80322571321482,0.001224745,435443.52339562954
binarytrees,swift,21,799,57.03431666666667,745423803.7333333,50.33312754849989,2.267913963,15224409.323097153
binarytrees,toit,7,390,0.0805,72644608,9.899494936611665,0.006363961,118748.68440534404
binarytrees,toit,21,384.0769230769231,782.6637692307692,778155874.4615384,3.8829013735766176,406.4978667154261,117232961.69086792
binarytrees,vw,21,824.5,1430.53,2212100096,152.02795795510772,1311.866926864154,1938676540.054768
fannkuchredux,chapel,10,737,0.239,9875456,,,
fannkuchredux,chapel,12,737,33.60933333333333,9653930.666666666,0,0.035645561583539334,183697.99966710823
fannkuchredux,clang,10,974.7142857142857,0.18857142857142856,2795812.5714285714,479.4384612,0.075592895,821847.3946110388
fannkuchredux,clang,12,974.7142857142857,27.981892857142856,2832432.761904762,446.5396964619732,10.880702549759087,808657.1301646697
fannkuchredux,csharpaot,10,1002,0.21683333333333335,6481920,377.55953172976575,0.071025113,463002.02746856306
fannkuchredux,csharpaot,12,1002,33.48556944444445,6386005.333333333,347.0818388,12.344588901621595,260991.94739204674
fannkuchredux,csharpcore,10,1002,0.45116666666666666,33182378.666666668,377.55953172976575,0.27336014096182104,506404.87577220984
fannkuchredux,csharpcore,12,1002,33.564375000000005,33310208,347.08183878863684,12.264797080293448,441602.1079843506
fannkuchredux,dartexe,10,699.5,0.31475,9291776,352.2787721866496,0.050042482,681402.5629537946
fannkuchredux,dartexe,12,699.5,51.53006249999999,9339562.666666666,308.3108406593662,8.048902892,767932.3500795999
fannkuchredux,dartjit,10,699.5,1.5035,186294272,352.2787721866495,0.11066616465749583,1900720.5435244779
fannkuchredux,dartjit,12,699.5,55.31479166666667,189441962.66666666,308.3108406593663,9.706820606980394,2234775.3684978676
fannkuchredux,erlang,12,1044,259.3498333333333,64811008,0,1.5514670964977628,544099.8554770828
fannkuchredux,fpascal,12,1057,42.36575,3585365.3333333335,0,0.013538665168526075,94931.06443322038
fannkuchredux,fsharpcore,10,862.6666666666666,0.6736666666666666,43925504,278.1372563,0.38723937471973763,3136281.817214773
fannkuchredux,fsharpcore,12,862.6666666666666,61.58694444444445,44710229.333333336,230.31952959809058,37.38208369790033,2801809.661710516
fannkuchredux,gcc,10,974.7142857142857,0.193,2698093.714285714,479.4384612,0.078068346,473200.0757782816
fannkuchredux,gcc,12,974.7142857142857,29.636130952380952,2586819.0476190476,446.5396964619732,12.396530302341125,307478.1420201938
fannkuchredux,ghc,10,868.3333333333334,0.6603333333333333,16179200,243.89478605879762,0.6353051760112354,8729591.387585195
fannkuchredux,ghc,12,868.3333333333334,100.4775138888889,16781368.888888888,224.20689640233243,96.33146952923416,8335331.962631019
fannkuchredux,gnat,12,2120,36.428916666666666,7763285.333333333,0,0.013013687433087088,175805.85620473168
